0,0.15761;0.20616|0.26007;0.10203,0.15438;0.08721|0.73660;0.09924,0.19604;0.12970|1.14478;0.08399,0.19196;0.10022|0.27034;0.07244,0.19246;0.10512|0.59831;0.05597,0.18678;0.08051|0.52884;0.05165,0.12691;0.07616|0.55305;0.04921,0.18180;0.08796|0.55778;0.04954,0.12315;0.06465|0.49583;0.04348,0.17287;0.07467|0.45311;0.04012,0.12186;0.04946|0.44000;0.04486
1,0.11049;0.45560|0.16124;0.15786,0.09831;0.43928|0.29696;0.11482,0.09660;0.44196|0.29114;0.15438,0.09965;0.37465|0.33032;0.27959,0.10031;0.37059|0.10316;0.15134,0.10106;0.37656|0.08447;0.16137,0.10352;0.36562|0.08336;0.15746,0.10227;0.36819|0.08359;0.15330,0.06580;0.34656|0.07550;0.15348,0.05570;0.32199|0.06726;0.15344,0.05570;0.32199|0.06981;0.16503
2,0.23830;0.45586|0.25166;0.02954,0.30010;0.60680|0.18323;0.03867,0.22916;0.31897|0.16621;0.02438,0.21029;0.21310|0.16708;0.02045,0.17710;0.25127|0.16708;0.02045,0.17922;0.25896|0.17175;0.01828,0.15884;0.19282|0.17933;0.03916,0.16442;0.20983|0.17984;0.03891,0.16764;0.21197|0.17340;0.02523,0.15883;0.04850|0.17347;0.02527,0.16083;0.04981|0.17403;0.02597
3,0.13527;0.27924|0.73295;0.19540,0.16710;0.56657|0.70288;0.16379,0.16750;0.57421|0.40967;0.15935,0.15696;0.56492|0.46472;0.19053,0.15566;0.55884|0.12150;0.19158,0.15596;0.56527|0.10658;0.20156,0.15346;0.55696|0.10742;0.20469,0.15816;0.57641|0.12204;0.20150,0.15770;0.57413|0.09819;0.18397,0.11509;0.32747|0.10294;0.17374,0.11682;0.33078|0.10409;0.17667
4,0.71449;2.44241|0.22529;0.14264,0.16421;0.15600|0.21797;0.12752,0.12895;0.10405|0.21914;0.12666,0.12663;0.10196|0.22425;0.13912,0.12605;0.10831|0.23017;0.12826,0.12848;0.10388|0.17496;0.11075,0.12037;0.08375|0.18486;0.08202,0.11979;0.09057|0.18346;0.10035,0.12091;0.09251|0.18380;0.10067,0.12260;0.09288|0.15175;0.09226,0.12713;0.09649|0.18709;0.10295
