0,0.15798;0.21519|0.29279;0.11093,0.13742;0.08924|0.48833;0.08019,0.11084;0.12053|1.26516;0.07121,0.10869;0.08637|0.28743;0.05679,0.10731;0.09382|0.67969;0.04590,0.10262;0.06526|0.62424;0.04188,0.10172;0.07789|0.62673;0.03451,0.10014;0.07455|0.63174;0.03437,0.09910;0.06227|0.58206;0.03343,0.09657;0.06096|0.51366;0.03175,0.09476;0.04150|0.50877;0.03118
1,0.08925;0.37032|0.20376;0.18612,0.06795;0.35302|0.19853;0.10072,0.06734;0.35535|0.19338;0.09847,0.06285;0.30457|0.19515;0.08658,0.05753;0.29520|0.07606;0.07638,0.05555;0.30418|0.07781;0.07474,0.05424;0.28405|0.07659;0.07216,0.05273;0.28991|0.07726;0.07201,0.05156;0.25961|0.07532;0.07114,0.04884;0.27257|0.07378;0.07085,0.04884;0.27257|0.07000;0.07023
2,0.20204;0.45123|0.20901;0.03850,0.18531;0.35131|0.25336;0.03278,0.17172;0.30207|0.24851;0.02697,0.16930;0.19370|0.23051;0.02287,0.16210;0.20028|0.23051;0.02287,0.16082;0.21528|0.22898;0.02113,0.15757;0.16866|0.22870;0.01843,0.15450;0.18614|0.23322;0.01823,0.15396;0.18683|0.22488;0.01762,0.15196;0.03321|0.22522;0.01751,0.14953;0.03948|0.22792;0.01726
3,0.07620;0.20056|0.55011;0.19261,0.06030;0.23709|0.53095;0.17310,0.05581;0.24394|0.36565;0.16847,0.05040;0.25519|0.35126;0.14660,0.04943;0.24686|0.12919;0.13806,0.04827;0.25269|0.09552;0.13672,0.04728;0.24651|0.09619;0.13664,0.04645;0.26217|0.12867;0.13605,0.04569;0.26051|0.05311;0.13175,0.04432;0.15886|0.05105;0.13033,0.04374;0.15997|0.05052;0.13021
4,0.16355;0.60993|0.22930;0.08573,0.12523;0.07550|0.20551;0.03139,0.11825;0.07595|0.20534;0.03010,0.11564;0.06673|0.20098;0.02738,0.11501;0.06316|0.21442;0.02597,0.11327;0.06947|0.16657;0.02489,0.11137;0.05874|0.15626;0.02246,0.10496;0.03779|0.15147;0.02127,0.10304;0.04056|0.14894;0.02020,0.10226;0.03900|0.13891;0.01954,0.10066;0.04067|0.14809;0.01948
