0,31|15,38|72,76|84,166|109,181|341,582|626,891|666,1108|679,2318|1807,3294|1090,7880|2479
1,15|31,48|36,69|60,173|137,196|286,207|567,213|586,455|601,866|1654,2960|3637,2960|4679
2,11|31,22|34,134|182,149|257,269|257,288|442,344|648,353|667,358|2504,1927|2509,1936|2520
3,15|15,82|18,123|29,192|124,232|258,241|507,249|518,261|307,292|1812,2536|1553,2543|1556
4,63|31,40|32,92|49,167|115,292|80,137|606,419|444,1231|729,1236|750,1239|3307,1246|745
