6,36.003906
4,35.467033
1,36.775658
3,35.970352
8,36.071014
7,36.540775
5,35.9368
9,35.399925
0,35.769024
2,36.540775
0,49.023026
1,50.063213
2,51.27117
3,51.136955
4,51.002735
5,52.076477
6,51.371834
7,51.438946
8,50.063213
9,49.59345
0,44.224743
1,44.862274
2,45.399147
3,45.63403
4,45.8018
5,45.231373
6,45.13071
7,44.795166
8,43.419434
9,42.54702
0,78.04761
1,78.21538
2,78.88647
3,79.75889
4,79.35623
5,79.389786
6,79.222015
7,79.0878
8,78.92002
9,77.20875
1,64.7265
0,64.52517
2,66.001564
3,66.47133
4,66.53844
6,67.07531
5,66.57199
7,66.13579
8,65.598915
9,63.6192
0,59.022247
1,59.35779
2,60.431534
3,60.062435
4,60.129543
5,60.397976
6,60.800632
7,60.09599
8,59.391346
9,57.98206
